No,base_url,section,section_url,group,group_url,url,sub_urls,title,title_kanji,title_kana,description,文字数,ステータス,修正後回答,用語(Kanji),用語(Hiragana),類義(synonyms1),類義(synonyms2),類義(synonyms3),類義(synonyms4),類義(synonyms5),類義(synonyms6),類義(synonyms7),類義(synonyms8),類義(synonyms9),類義(synonyms10),,,,,メモ(memo),受領日
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,盂蘭盆会（うらぼんえ）,盂蘭盆会,うらぼんえ,7月13日から16日まで、もしくは8月13日から16日までの4日間、「盆棚づくり」をして先祖の霊をお迎えし供養する期間を「お盆」といいます。その「お盆」の正式名称を「盂蘭盆会（うらぼんえ）」といいます。,101,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,う,http://h-sougi.com/category/word_u,http://h-sougi.com/archives/154,,盂蘭盆会（うらぼんえ）,盂蘭盆会,うらぼんえ,"７月13日～16日、あるいは8月13日～16日の4日間、盆棚づくりをして先祖の霊を迎え、供養する期間を「お盆」といいますが、お盆の正式名称が「盂蘭盆会」です。
盂蘭盆会（うらぼんえ）とは、
、盂蘭盆会の由来となっているのは、お釈迦様の教えです。
「餓鬼道に落ちた母を救いたい」とお釈迦様に相談した弟子に対し、「7月15日に僧侶を招き、多くの供物を捧げて供養すれば救われる」と仰られました。その通りに供養すると母は救われた、ということから盂蘭盆会は「逆さ吊りにされるような苦しみから救う供養」となったのです。
また、
。そのため、13日の夕方ご先祖様の霊を“迎え火”を焚いてお迎えし、期間中は僧侶による読経、お墓参り、飲食による供養をおこない、16日の夕方にはご先祖様の霊をお送りするために“送り火”をするのです。",356,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://j-sougi.com/sougi-knowledge/glossary,あ,,,,,,盂蘭盆会（お盆） (うらぼんえ),盂蘭盆会（お盆） ,うらぼんえ,毎年７月１３日から１６日または８月１３日から１６日に、先祖の霊を迎えて供養する行事のこと。一般的には１３日を迎え盆、１６日を送り盆といいます。その間、精霊棚を設けて先祖を供養します。故人が亡くなって初めて迎える盆を”新盆・・・,113,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,あ行,,,,,,永代供養 （えいたいくよう）,永代供養,えいたいくよう,菩提寺が施主に代わり永久に法要を営んでくれること、またはその取り決め。,35,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,あ行,http://souzoku-sougi.com/publics/index/139/#page139_368_631,,,http://souzoku-sougi.com/publics/index/139/#page139_130_389,,永代供養(えいだいくよう),永代供養,えいだいくよう,故人の冥福のために、御遺族などの参詣が無くても永久的に継続して法要・供養を寺院がすること、またはその取決め。,54,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,永代供養墓（えいたいくようはか）,永代供養墓,えいたいくようはか,永代供養は、何らかの事情で供養ができない場合や後継者がいない場合、その人に代わりお寺が責任を持って供養をすることを言います。永代供養の場合、他の人の遺骨と一緒に納骨堂か共同の墓に納骨されます。,96,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,え,http://h-sougi.com/category/word_e,http://h-sougi.com/archives/158,,永代供養墓（えいだいくようはか）,永代供養墓,えいだいくようはか,"永代供養とは、何らかの事情によって供養することが出来ない、または後継者がいない人に代わって、お寺が責任をもって供養を続けることをいいます。
永代供養の場合、遺骨は他の人と一緒に納骨堂、あるいは共同の墓に納骨されるため、一般の墓に対して「永代供養墓」という呼び方をします。
。費用は30～50万円位のところが多く、墓のタイプや納骨方法によって金額が変わってきます。（合同墓であれば墓石代が必要ありませんので、そのぶん費用を抑えることができます）
納骨後にお寺が行なってくれる供養は、お盆、彼岸の合同供養、祥月命日供養、回忌供養などで、他にもさまざまな管理もおこないます。
費用にはいっさいの供養・管理を含むので、その後の支払いはありませんが、生前申し込みをした場合、年会費や維持管理費を支払うところが多いようです。",356,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,えいたいくようぼ(永代供養墓),永代供養墓,えいたいくようぼ,家族単位で墓の祭紀を行うのではなく、寺院が責任をもって祭問する墓のこと。家族の責任で墓を守るのではないため承継の問題は発生しない。「合葬墓」を参照。,74,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,あ行,http://www.aichi-shien.or.jp/sougiyougo#ttl-a,,,,,永代供養墓 えいたいくようぼ,永代供養墓,えいたいくようぼ,家族単位で墓の祭祀を行うのではなく、寺院が責任をもって祭祀する墓のこと。,36,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_016.html,,永代供養墓 えいたいくようぼ,永代供養墓,えいたいくようぼ,家族単位で墓の祭祀を行うのではなく、寺院が責任をもって祭祀する墓のこと。家族の責任で墓を守るのではないため、承継の問題は発生しない。,66,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,えいたいしよう(永代使用),永代使用,えいたいしよう,墓地の一般的な使用権を示す言葉。永久に使用を許可するのではなく、承継者がいるかぎり期限を定めずに使用を許可すること。この使用を許可されたとき、使用者は永代使用料(寺院によっては永代供養料)を支払う。近年は「永代」という概念が明確でないということから、単に「使用権」と称する方向にある。,142,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,回向（えこう）,回向,えこう,回向（えこう）とは、死者の安らかな成仏を願って供養や法要を行うことを言います。「回向」という文字の通り「回り差し向ける」という意味は、僧侶や自分たちの読経が善行となりそれらによって修められた功徳（くどく）を、死者の霊に向けて分け与えるということになります。,128,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,え,http://h-sougi.com/category/word_e,http://h-sougi.com/archives/159,,回向（えこう）,回向,えこう,"回向（えこう）は、
言います。
文字にある“回り差し向ける”という意味は、僧侶や私たちの読経などによる善行、それらによって修められた功徳を、死者の霊へ差し向けて分け与える、ということになります。
ただし、浄土真宗は回向に対する考え方が違います。「私たち人間には他へ分け与えるほどの功徳は備わっていない、阿弥陀如来の慈悲の力によってのみ救われる、私たちにその力を及ぼして頂くことに感謝する」とされ、阿弥陀如来から私たちに向けられる形となります。
読経のあとには“回向文”を唱えますが、回向分とは、仏様を称え、先祖への感謝の心をもち、功徳を他者へも回し向けていただけることをお祈りする文のことで、通常、回向文のあとに各宗派の仏様の名前を唱えます。
また、お経は唱えるだけでも功徳となる、とされています。
意味まで理解するのはとても難しいと思いますが",372,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,エンディングプラン（えんでぃんぐぷらん）,エンディングプラン,えんでぃんぐぷらん,その人が自分の人生をどのような形で最後を締めくくりたいかということを考えたものだといえるでしょう。自分の死後、どのような葬儀を希望するのか、また病気や事故で意識不明になったときに、どのような治療や終焉を迎えたいかなどを家族と話す必要があるのかもしれません。,128,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_018.html,,エンバーミング えんばーみんぐ,エンバーミング,えんばーみんぐ,遺体衛生保全。遺体を消毒・防腐・化粧・修復処理する処置。処置後10日間程度は腐敗などの遺体変化が生じない。死後に長距離移動が必要な場合用いられる、もしくは用いる場合がある。,86,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,エンバーミング（えんばーみんぐ）,エンバーミング,えんばーみんぐ,エンバーミングとは、遺体の修復や消毒、殺菌、腐敗処理等（ふはいしょり）の技術のことを言います。遺体からの感染症を予防するために土葬を中心とした外国では多数実施されている技術です。,89,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,えんばーみんぐ(エンバーミング),エンバーミング,えんばーみんぐ,日本語で「遺体衛生保全」と訳される。遺体を消毒防・腐・化粧・修復する処置。胸部または大腿部の動脈を小切開し、防腐剤を注入し血液を静脈から排出する。腹部も小切開し、ガスや腸の内容物を排出し、防腐剤を注入する。目や頬、傷口を修復する。処置後四日間程度は腐敗などの遺体変化が生じない。北米では遺体の9割に処置されるが日本での普及率は1%。外国人を遺体で母国に移送する際にはエンバーミングを義務づける国が多い。,201,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,え,http://h-sougi.com/category/word_e,http://h-sougi.com/archives/162,,エンバーミング（えんばーみんぐ）,エンバーミング,えんばーみんぐ,"エンバーミング （日本語訳：死体防腐処理、遺体衛生保全）は、遺体の修復、化粧、消毒、殺菌、防腐処理等の技術のことを言います。
遺体からの感染症防止も目的に含まれるため、土葬を基本とする諸外国では多く実施されていますが、
長期にわたる闘病生活で生前の面影が無くなってしまった、事故で傷がある、葬儀まで日数があるので遺体の状態が心配…というときに依頼される方が多いようです。
ご遺体の体液と薬液を交換することで全身の消毒・防腐をしますので、専門業者のもとへ引き取り、処置を終えて戻ってくるまでには数時間～半日ほど要します。
エンバーミング技術がアメリカから伝わるまでは、ご遺体の防腐対策といえばドライアイスのみでしたが、ドライアイスが長時間ふれた皮膚は損傷しやすく、体内の死後変化も止めることはできません。
生前の姿のままで最後のお別れを…という考えから、日本ではこれからさらに広がりをみせるようです。",399,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://kakaku.com/sougi/howto/S0026.html,ア行,,,,,,エンバーミング（えんばーみんぐ）,エンバーミング,えんばーみんぐ,薬品などを用いて遺体に防腐・保存のための処置を施すこと。,28,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,おきよめ(お清め),お清め,おきよめ,本来は死の穢れを払うという行為。死穢は伝染すると考えられ、これを払うために飲食を行った名残で葬儀後や通夜後の飲食を指して関東地方で使用されることが多い。,76,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_019.html,,お清め おきよめ,お清め,おきよめ,死の穢れけがれを払うという行為。死穢は伝染すると考えられ、これを払うために飲食を行った名残りで、葬儀後や通夜後の飲食を指して、関東方面で使用されることが多い。,79,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,あ行,,,,,,お清め(おきよめ),お清め,おきよめ,お通夜や葬儀の後の飲食を指して主に関東地方で使われる。,27,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,お,http://h-sougi.com/category/word_o,http://h-sougi.com/archives/164,,お清め（おきよめ）,お清め,おきよめ,"「お清め」は、忌まわしい“死”から身を守り、けがれを祓うために、体に塩をかけること、あるいは葬儀や通夜の後、参列者に供される飲食のことを言います。
慣習としておこなったり、「お清めしましょう」などと言っていると思いますが、何かしら違和感を感じている方も多いのではないでしょうか？「死者をとむらうための葬儀なのに、死を忌まわしいものと捉えているのはなぜ？」という疑問がわいてくるかもしれません。
まだ医学が未発達だった遠い昔、死を伝染するものと考えていた名残りや、不衛生な環境の中、死体が何かしらの伝染病のもととなっていた事が、死を恐れ、忌まわしいものと感じる根底にあるのではないでしょうか。
。そのため日本人は、塩に祓い清める力があると考えているのです。",327,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,お,http://h-sougi.com/category/word_o,http://h-sougi.com/archives/167,,納めの式（おさめのしき）,納めの式,おさめのしき,"火葬には遺族、親族のほか、故人と親しかった人が同行しますが、喪主が位牌を持ち、ほかの遺族が遺影を持って火葬場へ向かいます。また、「火葬許可証」がなければ火葬することができませんので、忘れないようにしてください。
火葬場についたら、火葬炉の前にお柩を安置し、「納めの式」をおこないます。
が、火葬場によって作法が異なるところもあります。
納めの式が終わったところで、お柩が火葬炉へ入れられますが、このときは全員が合掌してお見送りします。
大切な人が安置された柩が、火葬炉の中へと消えてゆくシーンを目の当たりにするのは、精神的に苦しいものです。葬儀の間こらえていた感情が、いっきにあふれ出る遺族も多いようなので、周囲の人はしっかりと支えてあげてください。
火葬を待つ間、いったん自宅に戻るか、火葬場の中で待つかは、地域によって異なりますが、火葬場で待つ場合は、控え室で菓子、酒などでもてなし、お昼時でしたら食事を用意します。",410,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,御膳料（おぜんりょう）,御膳料,おぜんりょう,葬儀の費用として一番気になることは僧侶へのお礼ではないでしょうか。一般的に僧侶に対してのお礼は、読経、戒名、葬儀全般へのお礼として「お布施（おふせ）」をお渡しします。,83,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,おとき(お斎),お斎,おとき,「料理」参照。葬儀や法事の後の会食のこと。,21,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,あ行,http://www.aichi-shien.or.jp/sougiyougo#ttl-a,,,,,お斎 おとき,お斎,おとき,葬儀や法事の後の会食のこと。,14,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_021.html,,お斎 おとき,お斎,おとき,葬儀や法事の後の会食のこと。,14,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,あ行,http://souzoku-sougi.com/publics/index/139/#page139_368_631,,,http://souzoku-sougi.com/publics/index/139/#page139_130_391,,お斎(おとき),お斎,おとき,寺で出す食事。または法事のときの会食。自宅や寺院、ホテル、会館などで法要をした場合は、仕出しを取ったり、別にレストラン、料亭などで会食することもあります。会食の席には僧侶もお招きし、僧侶が食事を辞退されたら、「御膳料」と表書きしお渡しします。,121,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,お斎（おとき）,お斎,おとき,一周忌などの法事が終わって、僧侶や参列してくれた人たちをもてなすための食事や会食の席のことを「お斎（おとき）」といいます。「お斎（おとき）」を行わない場合は、菓子折りや引き出物、お酒などを一緒に渡す地域もあります。,107,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.gotousogisya.com/word.html,あ行,,,,,,お斎(おとき),お斎,おとき,葬儀や法事の後の会食のこと。都合によりお斎を行わないときは、引出物と一緒にお料理の折り詰め・小びんのお酒などを参会者にさしあげるのが一般的。,70,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,お,http://h-sougi.com/category/word_o,http://h-sougi.com/archives/166,,お斎（おとき）,お斎,おとき,"法事が終わってから、
を、お斎（おとき）と言います。
お斎を行なわない場合は、折り詰めにした料理を用意して持ち帰っていただきますが、引き出物や、酒、菓子折りを一緒にお渡しする等、地域によってさまざまです。
法事を自宅や寺院などでおこない、そのあと移動して、レストランや料亭などで会食するケースが多くなり、
お斎とは、もともと“不殺生”という戒律を守って作られた寺院の食事のことを言います。“不殺生”は、命を奪わないということですので、肉や魚を使った料理が出されることはありませんでした。現在でも厳しい修行を続け、戒律を守る僧はこのような食事をしていますが、酒は禁じられていますし、分量も余ることがないように少なめです。修行僧と同じようにはいきませんが、あくまでもメインとなるのは法事ですので、飲食ばかりに気をとられないようにしたいものです。",370,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://heiansaiten.co.jp/glossary.html,,,,,http://heiansaiten.co.jp/g004,,お斎(おとき),お斎,おとき,"初七日など法事のあとで行う会食。 元来は僧の食事。「斎」の意味は神仏をまつる前に
飲食や行いを謹んで心身を清めたり、神事を行うことをいう。（→精進落し)",76,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,おふせ(お布施),お布施,おふせ,「布施」参照。一般的な意味は法要に対する僧侶へのお礼。,27,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,あ行,http://www.aichi-shien.or.jp/sougiyougo#ttl-a,,,,,お布施 おふせ,お布施,おふせ,僧侶（お坊さん）から戒名や読経をいただき、それに対するお礼。,30,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_020.html,,お布施 おふせ,お布施,おふせ,僧侶（お坊さん）から頂いた、戒名や読経に対するお礼。,26,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,あ行,http://souzoku-sougi.com/publics/index/139/#page139_368_631,,,http://souzoku-sougi.com/publics/index/139/#page139_130_393,,お布施(おふせ),お布施,おふせ,葬儀や法事のお礼として、僧侶･寺院にお納めする金銭。お布施の額は、僧侶や世話役に相談するとよいでしょう。また最近では要請すれば領収書を発行してくれる寺院が増えています。,84,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://www.gotousogisya.com/word.html,あ行,,,,,,お布施（おふせ）,お布施,おふせ,僧侶へ読経（お経を読んでもらう）や戒名を頂いたお礼として金品を渡すこと。水引は掛けず半紙に包むか白封筒に入れ、お盆などに乗せてお渡しする。相手に不幸があったわけではないで、不祝儀袋は使用しない。表書きには「御布施」とするか何も書かなくてもよい。,122,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aeonlife.jp/glossary/,あ行,https://www.aeonlife.jp/glossary/word/a_list.html,あ,,https://www.aeonlife.jp//glossary/word/ohuse.html,,御布施 （おふせ）,御布施,おふせ,葬儀や法事の御礼として、僧侶に差し出す金銭。御布施の額は地域や宗派によって違いますから、僧侶、あるいは世話役に相談するようアドバイスします。また僧侶への払いは、葬儀が終わったときが本来の形ですが、法事が始まる前という場合もあります。,116,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,おわかれかい(お別れ会),お別れ会,おわかれかい,近年現れたもので歴史的には告別式の独立形態。葬儀後2 ～6週間程度経過後に関係者や知人などが集まり追悼の会をもつこと。この場合、葬儀は近親者だけで行うケースが多い。軽食をとりながらの会の場合もある。,99,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,あ行,,,,http://www.sakata-sousai.com/word/word_022.html,,お別れ会 おわかれかい,お別れ会,おわかれかい,近年現れたもので歴史的には告別式の独立形態。葬儀後2～6週間程度経過後に、関係者や知人などが集まり追悼の会をもつこと。この場合、葬儀は近親者だけで行うケースが多い。軽食をとりながらの会の場合もある。,99,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,お,http://h-sougi.com/category/word_o,http://h-sougi.com/archives/168,,お別れ会（おわかれかい）,お別れ会,おわかれかい,"皆さんもご承知のように、葬儀は時間に追われ、あわたただしく過ぎていきます。駆けつけてくれた方々と、故人の思い出をゆっくり語り合う時間など、持てるような状況ではありません。
近年あらわれた新しい形の葬儀方法のひとつとして、「お別れ会」があります。葬儀は遺族や親族といった近親者のみで行い、
葬儀を終えているので、遺族は落ち着いて準備することができますし、故人に“別れを告げる会”ですから、告別式の一種と考えて良いかもしれません。
「お別れ会」は無宗教で行なわれ、ＢＧＭや食事内容についてもこれといった決まりは無く、故人が好きだった物を中心とした会とします。例えば、写真が趣味だった故人の作品を会場に展示したり、故人の好きな花で装飾したりといった感じで、スタイルは実にさまざまです。",339,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aoisousai.net/category/1531697.html,,,,,,,おわかれのぎ(お別れの儀),お別れの儀,おわかれのぎ,火葬のための出棺を前にし、棺の蓋を外し、遺族らが遺体と対面し花などを入れて最後の別れのときをもつこと。,51,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,お,http://h-sougi.com/category/word_o,http://h-sougi.com/archives/169,,お別れの儀（おわかれのぎ）,お別れの儀,おわかれのぎ,"「お別れの儀」とは、葬儀、告別式が閉式となった後、火葬へと向かう出棺を前にして、遺族などの近親者が花を手向けたり、お別れを告げるときのことです。このときお柩に入れる花は、主に供花の茎を短く切ったものが使われ、“別れ花”と言われています。（短く切らずに、そのまま手向ける所もあります）
「お別れの儀」のあと、お柩のフタに釘打ちしてしまうので、遺族の悲しみがこみ上げてくる場面でもあります。
花と一緒に、故人が愛用していた物を入れることもありますが、火葬の際、燃えにくいものを入れないように気をつけましょう。
「あの世でも大好きな本が読めるように」という思いやりの心でメガネを入れたとしても、燃え残ってしまったり、骨についてしまうこともありますので、そういう品物は、故人を偲ぶ品としてお手元において下さい。
「お別れの儀」の間、近親者以外の参列者たちは、会場の外で待つようになりますが、このときに大声で談笑するようなことは厳禁です。",414,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,か行,,,,http://www.sakata-sousai.com/word/word_024.html,,開眼供養 かいがんくよう,開眼供養,かいがんくよう,新しい仏像などを使い始めるとき、眼を描き入れ仏に魂を迎え入れる儀式。,34,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,か行,http://souzoku-sougi.com/publics/index/139/#page139_368_632,,,http://souzoku-sougi.com/publics/index/139/&anchor_link=page139_130_413#page139_130_413,,開眼供養(かいがんくよう),開眼供養,かいがんくよう,開眼というのは、仏像の目を開くという意味です。供養により、購入した仏壇やお墓に魂を入れる儀式のことをいいます。,55,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,20/4/18
,http://h-sougi.com/,,,か(1),http://h-sougi.com/category/word_ka1,http://h-sougi.com/archives/170,,開眼供養（かいがんくよう）,開眼供養,かいがんくよう,"「開眼供養」は「入魂式」とも言われ、 新しくつくられた仏像の目を最後に書き入れ、魂を入れる法要を行なったことから由来しています。
お墓が完成したときや、仏壇を購入したとき、または位牌に対して行なわれるもので、
供花とろうそく一対、線香、菓子や果物等の供物を用意し、僧侶による読経のあと焼香を行いますが、供養するまではお墓は石、仏壇も置物と同じようになってしまうので、欠かすことができない供養です。
供養の時期については特に決まりはありませんが、いつまでも「物」のままにしておくのはあまり良いことではありません。新盆や彼岸、または四十九日や一周忌などの人が集まる法要の機会に、併せて行なうことが多いようです。
逆に、
。石材店、仏壇専門店に連絡をすると、適切な対応をしてくれます。",339,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://j-sougi.com/sougi-knowledge/glossary,か,,,,,,開眼供養 (かいげんくよう),開眼供養 ,かいげんくよう,新たにできた仏像や本尊などを仏壇に安置して仏の魂を迎えいることです。初めて仏壇を購入した場合にも僧侶を招いて開眼供養をします。,63,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,開眼供養（かいげんくよう）,開眼供養,かいげんくよう,「開眼供養（かいげんくよう）」とは、別名「入魂式（にゅうこんしき）」といい、新しく作られた仏像の目を最後の段階で書きいれ、その仏像に「魂を入れる」という法要をしたことから「開眼供養（かいげんくよう）」といわれるようになりました。,114,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://souzoku-sougi.com/publics/index/139/,か行,http://souzoku-sougi.com/publics/index/139/#page139_368_632,,,http://souzoku-sougi.com/publics/index/139/&anchor_link=page139_130_395#page139_130_395,,　(がいこくぜいがくこうじょせいど),　,がいこくぜいがくこうじょせいど,,0,削除,削除,削除,削除,,,,,,,,,,,,,,,,20/4/18
,http://j-sougi.com/sougi-knowledge/glossary,か,,,,,,改葬 (かいそう),改葬 ,かいそう,いち度葬った遺骨を墓から取り出して他の場所に葬ること。改葬には役場に対する許可申請が必要です。,47,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.sakata-sousai.com/word/,か行,,,,http://www.sakata-sousai.com/word/word_025.html,,改葬 かいそう,改葬,かいそう,一度納めた遺骨を他の場所に移すこと。移動前の墓地等のある市町村から、｢改葬許可証｣を受け、移動先に提出する。,54,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,https://www.aoba-c.com/%E8%91%AC%E5%84%80%E3%81%AE%E8%B1%86%E7%9F%A5%E8%AD%98/%E8%91%AC%E5%84%80%E7%94%A8%E8%AA%9E%E9%9B%86/,,,,,,,改葬（かいそう）,改葬,かいそう,「改葬（かいそう）」は、一旦埋葬した遺骨を他の墓地や納骨堂へ移動することを言います。改葬をする理由として考えられるのは遠方へ住居を移すときや改宗する場合や区画整理で墓地自体が移動する場合が考えられます。,101,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://h-sougi.com/,,,か(1),http://h-sougi.com/category/word_ka1,http://h-sougi.com/archives/179,,改葬（かいそう）,改葬,かいそう,"「改装」とは、いったん埋葬した遺骨を、他の墓地や納骨堂に移すことを言います。
改葬を行なう理由としては、遠方に住居を移す場合、他の宗教への改宗などの他、区画整理などによる墓地の移動などが挙げられます。
改葬には、
。
手続きの手順は、まず、移転先の管理者から「受入証明書」を、現在、埋葬されている墓地の管理者から「埋葬（納骨）証明書」を発行してもらいます。
次に、「改葬許可申請書」を移動先の市区町村役場に提出して「改葬許可証」の交付を受け、移動先の墓地（納骨堂）の管理者に提示し、遺骨を埋葬（納骨）します。
寺院のお墓から別の寺院のお墓へと改葬する場合は、
。
また、通常、遺骨は骨壺に入れて納められていますが、遺骨のまま埋葬して土に還っている場合は、両手で土をすくい、新しいお墓に移します。",347,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
,http://www.aichi-shien.or.jp/sougiyougo,か行,http://www.aichi-shien.or.jp/sougiyougo#ttl-ka,,,,,会葬礼状 かいそうれいじょう,会葬礼状,かいそうれいじょう,会葬に来てくれた人に対して手渡す、お礼状のこと。,24,削除,削除,削除,削除,,,,,,,,,,,,,,,重複,17/5/18
